feature,decision_baseline,decision_current,decision_changed,directional_auc_baseline,directional_auc_current,directional_auc_delta,q_value_baseline,q_value_current,null_rate_baseline,null_rate_current,owner_next
available_count,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.8317769015594652,0.8219060634410397,-0.0099,0.0,0.0,0.0,0.0,DA②
total_chargers,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.7251360708847113,0.7203356806865903,-0.0048,0.0,0.0,0.0,0.0,DA②
minutes_since_last_change,RETAIN_CANDIDATE,RETAIN_CANDIDATE,False,0.7090248273657802,0.7135877820500924,0.0046,0.0,0.0,0.0,0.0,DA②
usable_count,RETAIN_CANDIDATE,RETAIN_CANDIDATE,False,0.6784681376157491,0.673849657534434,-0.0046,0.0,0.0,0.0,0.0,DA②
direct_observed_count,RETAIN_CANDIDATE,RETAIN_CANDIDATE,False,0.6364265835797305,0.6316693466680796,-0.0048,0.0,0.0,0.0,0.0,DA②
observation_coverage,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.6255912002234326,0.6252889338138534,-0.0003,0.0,0.0,0.0,0.0,DA②
unobserved_rate,EXCLUDE_REDUNDANT,EXCLUDE_REDUNDANT,False,0.6255912002234326,0.6252889338138534,-0.0003,0.0,0.0,0.0,0.0,DA①
known_charger_count,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.6218628470743396,0.6188190819638901,-0.003,0.0,0.0,0.0,0.0,DA②
history_observed,HOLD_SPARSE_HISTORY,HOLD_SPARSE_HISTORY,False,0.6042302307773191,0.6028777049145728,-0.0014,0.0,0.0,0.0,0.0,DA①
sessions_per_charger,HOLD_SPARSE_HISTORY,HOLD_SPARSE_HISTORY,False,0.5914951166739779,0.5871862173294217,-0.0043,2.8049005042294146e-86,2.0950782589416825e-141,0.9273273516248132,0.9260659462547705,DA①
available_count_delta_1tick,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5544905804976697,0.5678872947527736,0.0134,0.0,0.0,0.07392037542531316,0.08617213151003222,DA②
observation_age_minutes,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.5729661391064163,0.567191455061616,-0.0058,0.0,0.0,0.0,0.0,DA②
hour,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.562184612365053,0.5484121761238213,-0.0138,1.3284592790454628e-245,3.8437288259200525e-290,0.0,0.0,DA②
horizon_minutes,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.5423522422944074,0.5415192098211987,-0.0008,4.215282230231879e-185,5.26108053741197e-309,0.0,0.0,DA②
direct_observation_coverage,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5369718171851555,0.5286625114791278,-0.0083,4.0884455554270494e-114,1.8285919995792758e-123,0.0,0.0,DA②
usage_daytype_avg,HOLD_SPARSE_HISTORY,HOLD_SPARSE_HISTORY,False,0.5101466449430754,0.5138885019489865,0.0037,9.957993816525908e-05,2.654854811714023e-05,0.9273273516248132,0.9260659462547705,DA①
weekday,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5084550209804775,0.5051823246007248,-0.0033,1.4035560703926432e-08,1.347251552896124e-06,0.0,0.0,DA②
is_weekend,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5067550040347315,0.5005103092918534,-0.0062,2.5200789167506024e-08,0.5881985266507338,0.0,0.0,DA②
