feature,decision,q_value,p_value,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,point_biserial,null_rate,rows,horizon_stable,sig_tier
available_count,RETAIN_FOR_ABLATION,0.0,0.0,0.8219,0.8192,0.791,0.8559,0.2403,0.0,836651,True,sig + practical
total_chargers,RETAIN_FOR_ABLATION,0.0,0.0,0.7203,0.7098,0.6974,0.7189,0.1166,0.0,836651,True,sig + practical
minutes_since_last_change,RETAIN_CANDIDATE,0.0,0.0,0.7136,0.7219,0.6945,0.7431,0.1102,0.0,836651,True,sig + practical
usable_count,RETAIN_CANDIDATE,0.0,0.0,0.6738,0.6771,0.6616,0.6919,0.1467,0.0,836651,True,sig + practical
direct_observed_count,RETAIN_CANDIDATE,0.0,0.0,0.6317,0.6358,0.6109,0.6638,0.1168,0.0,836651,True,sig + practical
observation_coverage,RETAIN_FOR_ABLATION,0.0,0.0,0.6253,0.6129,0.6022,0.6224,-0.1445,0.0,836651,True,sig + practical
unobserved_rate,EXCLUDE_REDUNDANT,0.0,0.0,0.6253,0.6129,0.6022,0.6224,0.1445,0.0,836651,True,sig + practical
known_charger_count,RETAIN_FOR_ABLATION,0.0,0.0,0.6188,0.6181,0.6026,0.6311,0.1094,0.0,836651,True,sig + practical
history_observed,HOLD_SPARSE_HISTORY,0.0,0.0,0.6029,0.594,0.5824,0.6051,-0.2073,0.0,836651,True,sig + practical
sessions_per_charger,HOLD_SPARSE_HISTORY,2.0950782589416825e-141,1.6295053125101975e-141,0.5872,0.5839,0.5662,0.5947,-0.1016,0.9261,61857,True,sig + practical
available_count_delta_1tick,HOLD_FOR_HGB_INTERACTION_TEST,0.0,0.0,0.5679,0.5681,0.5462,0.5886,0.0992,0.0862,764555,False,sig + practical
observation_age_minutes,RETAIN_FOR_ABLATION,0.0,0.0,0.5672,0.5719,0.5443,0.6035,-0.0742,0.0,836651,True,sig + practical
hour,HOLD_FOR_HGB_INTERACTION_TEST,3.8437288259200525e-290,2.7760263742755933e-290,0.5484,0.5256,0.5009,0.574,-0.0398,0.0,836651,True,sig but low AUC
horizon_minutes,RETAIN_FOR_ABLATION,5.26108053741197e-309,3.50738702494131e-309,0.5415,0.5526,0.5368,0.5717,0.0411,0.0,836651,True,sig but low AUC
direct_observation_coverage,HOLD_FOR_HGB_INTERACTION_TEST,1.8285919995792758e-123,1.523826666316063e-123,0.5287,0.5347,0.5026,0.5727,0.0258,0.0,836651,False,sig but low AUC
usage_daytype_avg,HOLD_SPARSE_HISTORY,2.654854811714023e-05,2.5073628777299103e-05,0.5139,0.5032,0.5003,0.5168,0.0169,0.9261,61857,False,sig but low AUC
weekday,HOLD_FOR_HGB_INTERACTION_TEST,1.347251552896124e-06,1.1975569359076658e-06,0.5052,0.5006,0.5009,0.516,0.0053,0.0,836651,True,sig but low AUC
is_weekend,HOLD_FOR_HGB_INTERACTION_TEST,0.5881985266507338,0.5881985266507338,0.5005,0.5091,0.5013,0.5164,0.0006,0.0,836651,False,non_sig (q>=0.05)
