충전소ID,기준시각,사용가능_대수,전체_충전기수,관측_가용률,상태신뢰도_등급,관측신선도_등급,좌표_유효,확정가용_여부,위도,경도,미관측_비율,상태경과_분,관측경과_분
ME178137,2026-08-09T07:23:21+09:00,2,2,1.0,높음(5분이내),높음(5분이내),True,True,36.070161,128.7097063,0.0,4.6,0.0
ME181302,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.8041984,128.5166757,0.0,6.15,0.0
ME181303,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.767460831,128.6487953,0.0,2.9166666666666665,0.0
ME183050,2026-08-09T07:23:21+09:00,2,2,1.0,높음(5분이내),높음(5분이내),True,True,35.8296797,128.6320054,0.0,3.466666666666667,0.0
ME183053,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.80795,128.5587594,0.0,2.3,0.0
ME183054,2026-08-09T07:23:21+09:00,0,1,0.0,높음(5분이내),높음(5분이내),True,False,35.658658456,128.4134391,0.0,2.783333333333333,0.0
ME183055,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.9923765,128.6810109,0.0,2.8833333333333333,0.0
ME183056,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.827560977,128.58872119,0.0,4.65,0.0
ME183057,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.855634776,128.50107098,0.0,5.366666666666666,0.0
ME183058,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.8897037,128.6326875,0.0,3.566666666666667,0.0
ME183059,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.895183356,128.62554729,0.0,7.166666666666667,0.0
ME183060,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.910053,128.5980954,0.0,7.066666666666666,0.0
ME183061,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.8662711,128.6395689,0.0,4.9,0.0
ME183062,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.842778498,128.49013162,0.0,6.65,0.0
ME183063,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.848530792,128.52951891,0.0,7.133333333333334,0.0
ME183064,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.862405614,128.52212472,0.0,3.283333333333333,0.0
ME183065,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.843759305,128.52223591,0.0,3.95,0.0
ME183066,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.9210768,128.5983464,0.0,5.45,0.0
ME183067,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.8918583,128.5662294,0.0,5.066666666666666,0.0
ME183068,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.8177986,128.6426182,0.0,3.55,0.0
ME183069,2026-08-09T07:23:21+09:00,0,1,,확인필요(15분초과),확인필요(15분초과),True,False,35.841675784,128.6253953,1.0,,
ME183070,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.6654537,128.4301409,0.0,3.25,0.0
ME183071,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.8599026,128.4911241,0.0,2.216666666666667,0.0
ME183072,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.8355921,128.6818292,0.0,3.0833333333333335,0.0
ME183077,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.6927724,128.505986,0.0,2.6,0.0
ME183144,2026-08-09T07:23:21+09:00,3,3,1.0,높음(5분이내),높음(5분이내),True,True,35.69241506,128.42241654,0.0,3.066666666666667,0.0
ME184067,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.8706135,128.6016338,0.0,3.0166666666666666,0.0
ME184068,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.844707,128.561796,0.0,4.45,0.0
ME184069,2026-08-09T07:23:21+09:00,1,1,1.0,높음(5분이내),높음(5분이내),True,True,35.907199,128.613253,0.0,3.283333333333333,0.0
ME184070,2026-08-09T07:23:21+09:00,1,1,1.0,보통(5~15분),높음(5분이내),True,True,35.841515,128.706201,0.0,7.066666666666666,0.0
