시,분석가능,패널_행수,시각_수,충전소_수,평균_가용률,중앙_가용률,확정가용_비율,평균_사용중비율,제외사유
0,True,312276,104,3699,0.6273,0.6667,0.8373,0.3727,
1,True,332480,108,3700,0.6259,0.6667,0.8331,0.3741,
2,True,336210,108,3700,0.629,0.6667,0.8322,0.371,
3,True,339221,108,3700,0.6347,0.6923,0.8335,0.3653,
4,True,341239,108,3700,0.6438,0.75,0.8409,0.3562,
5,True,343881,108,3700,0.6592,0.75,0.8544,0.3408,
6,True,347422,108,3702,0.6828,0.8,0.8758,0.3172,
7,True,361135,128,3704,0.7258,0.8667,0.9007,0.2742,
8,True,389608,162,3713,0.7681,1.0,0.9059,0.2319,
9,True,386180,133,3715,0.7879,1.0,0.9121,0.2121,
10,True,395772,132,3719,0.801,1.0,0.9141,0.199,
11,True,385318,127,3722,0.8064,1.0,0.9136,0.1936,
12,True,385276,125,3714,0.8062,1.0,0.9135,0.1938,
13,True,390229,127,3717,0.8039,1.0,0.9127,0.1961,
14,True,399163,130,3723,0.7979,1.0,0.9099,0.2021,
15,True,415637,134,3727,0.7873,1.0,0.9051,0.2127,
16,True,384522,125,3726,0.7708,1.0,0.8969,0.2292,
17,True,378315,119,3726,0.7546,0.8889,0.888,0.2454,
18,True,337821,102,3709,0.7407,0.8333,0.8999,0.2593,
19,True,339568,102,3713,0.7034,0.7778,0.8875,0.2966,
20,True,350347,117,3718,0.6677,0.75,0.8625,0.3323,
21,True,363965,120,3721,0.6381,0.6667,0.8391,0.3619,
22,True,339834,109,3710,0.6241,0.6667,0.8295,0.3759,
23,True,318458,96,3699,0.6332,0.6667,0.8478,0.3668,
