feature,decision,role,directional_auc,loo_d_valid_pr_auc,loo_d_valid_neg_recall
available_count,RETAIN_FINAL,HGB model input,0.7041066316565477,-0.0026345678642787362,-0.04942923639587715
total_chargers,RETAIN_FINAL,HGB model input,0.6965110252148294,-2.2402709527913345e-05,0.002770697107392195
known_charger_count,RETAIN_FINAL,HGB model input,0.6753966115107892,-2.155352017130241e-05,0.0006649673057741445
observation_coverage,RETAIN_FINAL,HGB model input,0.5653270499673163,-5.252050198656377e-05,-0.0005541394214784168
hour,RETAIN_FINAL,HGB model input,0.5599244304882856,-0.0035718012451771974,0.05585725368502714
weekday,RETAIN_FINAL,HGB model input,0.5160674966731791,-0.00031566777826197434,0.015183420148509374
avail_rate_lag_15m,RETAIN_FINAL,HGB model input,0.5063100740698607,-0.0010564115936971818,0.0
avail_rate_lag_60m,RETAIN_FINAL,HGB model input,0.5159632416232125,-0.0004792900312675652,0.004543943256123284
tmap_eta_min,RETAIN_FINAL,HGB model input,0.5486856360581278,,
single_charger,DROP_OR_EXCLUDE,NEED_NO — LOO 동일( total_chargers가 정보 흡수 ). 파생 불필요,,,
is_weekend,DROP_OR_EXCLUDE,NEED_NO — weekday와 LOO 동일 · 중복,,,
avail_ratio_t0,DROP_OR_EXCLUDE,NEED_NO — A+대비 gain≈0 · HOLD 유지,,,
horizon_minutes,DROP_OR_EXCLUDE,PICK_ALT — tmap_eta_min 선택(실측 1848). horizon과 동시 금지,,,
haversine_km,DROP_OR_EXCLUDE,PICK_ALT — tmap과 택1 · 거리 대리치,,,
eta_bucket,DROP_OR_EXCLUDE,NEED_NO — 연속 tmap_eta_min이 대체,,,
eta_is_proxy,DROP_OR_EXCLUDE,EXCLUDE — 학습 금지(현재 rate=0),,,
