hour,mean_pct,median_pct,ticks,days
0,43.71247982480626,40.41339456165364,24,2
1,39.098177048040704,39.84672944223345,24,2
2,40.98229986596737,40.87688507540302,24,2
3,43.68911517655931,43.8148523967905,24,2
4,46.315559752584385,46.2273264575878,24,2
5,50.699099072070176,50.74902655288403,24,2
6,57.514171823987255,57.850459380965646,24,2
7,70.52115360146452,69.94703855174717,30,5
8,78.2861038483172,78.32158531719644,39,7
9,78.11365051268345,78.11217510259918,43,7
10,78.36792148611914,78.66072029040944,42,7
11,78.37606298489243,79.39604259046266,42,7
12,77.53451655076962,77.71329077190946,41,7
13,76.18442024474788,76.3134927561529,43,8
14,74.10033609091262,74.99811945583473,46,8
15,72.31916455570344,72.12351036100432,46,8
16,66.53054803504781,65.51588084434799,41,8
17,62.8839547467757,61.639499920873554,31,7
18,59.06216210581306,58.62611209090552,18,4
19,54.172206417346345,55.56301603384772,18,4
20,48.00107715196344,51.15914986048608,34,7
21,40.153135987991305,36.87597216072301,36,7
22,33.39313988893266,31.24100828597533,26,4
23,30.348555656894263,30.366330145206902,12,1
