statId,busiId,busiNm,bnm,match_name,fee_operator_nm,fee_match_level,fee_type_sample,capacity_class_sample,member_won_sample,nonmember_won_sample,fee_updated_at_sample
ME178137,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME181302,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME181303,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183050,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183053,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183054,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183055,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183056,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183057,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183058,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183059,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183060,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183061,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183062,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183063,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183064,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183065,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183066,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183067,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183068,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183069,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183070,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183071,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183072,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183077,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME183144,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME184067,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME184068,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME184069,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME184070,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C147,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C170,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C171,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C172,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C173,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C174,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C175,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C176,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C177,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C178,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C229,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C230,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C251,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
