seq,operator_nm,fee_type,capacity_class,member_won_per_kwh,member_note,nonmember_won_per_kwh,updated_at
1,기후에너지환경부,대표,급속(100kW미만),324.4,,324.4,2026-07-21
2,기후에너지환경부,대표,급속(100kW이상),347.2,,347.2,2026-07-21
3,E1,대표,완속,301.4,,301.4,2026-03-13
4,E1,대표,급속(100kW이상),313.1,,313.1,2026-03-13
5,GS차지비,대표,완속,319.0,,470.0,2026-03-13
6,GS차지비,대표,급속(100kW미만),335.0,,470.0,2026-03-13
7,GS차지비,대표,급속(100kW이상),345.0,,470.0,2026-03-13
8,KH에너지,대표,급속(100kW미만),347.0,비회원가 없음,,2026-03-13
9,KH에너지,대표,급속(100kW이상),347.0,비회원가 없음,,2026-03-13
10,LG유플러스 볼트업,대표,완속,295.0,,450.0,2026-07-01
11,LG유플러스 볼트업,대표,급속(100kW미만),350.0,,450.0,2026-07-01
12,LG유플러스 볼트업,대표,급속(100kW이상),350.0,,450.0,2026-07-01
13,NICE인프라,대표,완속,324.0,,324.0,2026-03-13
14,NICE인프라,대표,급속(100kW미만),350.0,,350.0,2026-03-13
15,NICE인프라,대표,급속(100kW이상),350.0,,350.0,2026-03-13
16,SG생활안전,대표,완속,315.0,,450.0,2026-03-13
17,SG생활안전,대표,급속(100kW미만),350.0,,450.0,2026-03-13
18,SG생활안전,대표,급속(100kW이상),350.0,,450.0,2026-03-13
19,SK렌터카,대표,완속,310.0,비회원가 없음,,2026-03-13
20,SK렌터카,대표,급속(100kW미만),350.0,비회원가 없음,,2026-03-13
21,SK렌터카,대표,급속(100kW이상),380.0,비회원가 없음,,2026-03-13
22,SK시그넷,대표,급속(100kW이상),395.0,완속 미운영,395.0,2026-03-13
23,SK에너지,대표,완속,286.0,,286.0,2026-03-13
24,SK에너지,대표,급속(100kW미만),347.2,,450.0,2026-03-13
25,SK일렉링크,대표,완속,295.0,,590.0,2026-05-21
26,SK일렉링크,대표,급속(100kW미만),391.0,,590.0,2026-05-21
27,가온건설,대표,완속,324.4,비회원가 없음,,2026-03-13
28,가온건설,대표,급속(100kW미만),347.2,비회원가 없음,,2026-03-13
29,광성계측기,대표,완속,240.0,비회원가 없음,,2026-03-13
30,광성계측기,대표,급속(100kW미만),320.0,비회원가 없음,,2026-03-13
31,그리드위즈,대표,완속,280.0,비회원가 없음,,2026-03-13
32,그리드위즈,대표,급속(100kW미만),340.0,비회원가 없음,,2026-03-13
33,그린전력,대표,완속,324.4,비회원가 없음,,2026-03-13
34,그린전력,대표,급속(100kW미만),347.2,비회원가 없음,,2026-03-13
35,넥씽,대표,완속,300.0,,400.0,2026-03-13
36,넥씽,대표,급속(100kW미만),350.0,,400.0,2026-03-13
37,농협경제지주 신재생에너지센터,대표,완속,274.0,,385.0,2026-04-20
38,농협경제지주 신재생에너지센터,대표,중속,287.0,,385.0,2026-04-20
39,농협경제지주 신재생에너지센터,대표,급속(100kW미만),307.0,,385.0,2026-04-20
40,농협경제지주 신재생에너지센터,대표,급속(100kW이상),327.0,,385.0,2026-04-20
41,뉴로모빌리티,대표,완속,280.0,,280.0,2026-03-16
42,뉴로모빌리티,대표,급속(100kW미만),324.0,,324.0,2026-03-16
43,뉴로모빌리티,대표,급속(100kW이상),324.0,,324.0,2026-03-16
44,뉴텍솔루션,대표,완속,270.0,,370.0,2026-03-13
45,뉴텍솔루션,대표,급속(100kW미만),280.0,,440.0,2026-03-13
46,대도엘앤씨,대표,완속①,320.0,,350.0,2026-04-30
47,대성물류건설,대표,완속,280.0,,500.0,2026-04-30
48,대한송유관공사,대표,급속(100kW미만),324.4,,324.4,2026-04-20
49,대한송유관공사,대표,급속(100kW이상),347.2,,347.2,2026-04-20
50,동양이엔피,대표,완속,280.0,,280.0,2026-03-13
51,동양이엔피,대표,급속(100kW이상),350.0,비회원가 없음,,2026-03-13
52,두루스코이브이,대표,완속,250.0,,350.0,2026-03-13
53,두루스코이브이,대표,급속(100kW미만),340.0,,400.0,2026-03-13
54,딜라이브,대표,완속,279.0,비회원가 없음,,2026-03-30
55,레드이엔지,대표,완속,260.0,,400.0,2026-03-13
56,레드이엔지,대표,급속(100kW미만),400.0,,500.0,2026-03-13
57,롯데이노베이트,대표,급속(100kW미만),360.0,,500.0,2026-03-13
58,롯데이노베이트,대표,급속(100kW이상),380.0,,500.0,2026-03-13
59,리셀파워,대표,완속,294.4,,324.4,2026-03-20
60,리셀파워,대표,급속(100kW미만),306.3,,336.3,2026-03-20
61,리셀파워,대표,급속(100kW이상),317.2,,347.2,2026-03-20
62,매니지온,대표,완속,230.0,,400.0,2026-03-13
63,매니지온,대표,급속(100kW이상),324.4,,400.0,2026-03-13
64,메가볼트,대표,완속,324.4,,324.4,2026-05-08
65,메가볼트,대표,급속(100kW미만),347.2,,347.2,2026-05-08
66,모던텍,대표,완속,324.7,,380.0,2026-03-13
67,모던텍,대표,급속(100kW이상),324.7,,380.0,2026-03-13
68,모트렉스이브이,대표,완속,250.0,,295.0,2026-05-13
69,모트렉스이브이,대표,급속(100kW미만),300.0,,345.0,2026-05-13
70,모트렉스이브이,대표,급속(100kW이상),320.0,,365.0,2026-05-13
71,바이온에버,대표,완속,295.0,,295.0,2026-07-30
72,바이온에버,대표,중속,307.2,중속 미운영,307.2,2026-07-30
73,바이온에버,대표,급속(100kW미만),325.6,급속 미운영,325.6,2026-07-30
74,바이온에버,대표,급속(100kW이상),348.4,급속 미운영,348.4,2026-07-30
75,바이온에버,대표,초급속,393.1,초급속 미운영,393.1,2026-07-30
76,보타리에너지,대표,완속,286.7,,286.7,2026-03-13
77,보타리에너지,대표,급속(100kW미만),324.4,,324.4,2026-03-13
78,보타리에너지,대표,급속(100kW이상),347.2,,347.2,2026-03-13
79,브라이트에너지파트너스,대표,완속,295.0,비회원가 없음,,2026-03-13
80,블루네트웍스,대표,완속,324.4,,324.4,2026-03-13
81,블루네트웍스,대표,급속(100kW이상),347.2,,347.2,2026-03-13
82,서울시,대표,완속,324.4,비회원가 없음,,2026-03-13
83,서울시,대표,급속(100kW미만),324.4,비회원가 없음,,2026-03-13
84,서울씨엔지,대표,완속,315.0,,450.0,2026-03-13
85,서울씨엔지,대표,급속(100kW미만),350.0,,450.0,2026-03-13
86,서울씨엔지,대표,급속(100kW이상),350.0,,450.0,2026-03-13
87,서현에너지,대표,완속①,295.0,,295.0,2026-07-30
88,서현에너지,대표,중속②,307.2,,307.2,2026-07-30
89,서현에너지,대표,급속(100kW미만)③,325.6,,325.6,2026-07-30
90,서현에너지,대표,급속(100kW이상)④,348.4,,348.4,2026-07-30
91,서현에너지,대표,초급속⑤,393.1,,393.1,2026-07-30
92,선광시스템,대표,완속,324.4,,324.4,2026-03-13
93,선광시스템,대표,급속(100kW미만),347.2,,347.2,2026-03-13
94,소프트베리,대표,완속,297.0,주간(비회원가 없음),,2026-03-13
95,소프트베리,변동,완속①,275.0,야간(비회원가 없음),,2026-03-13
96,스칼라데이터,대표,완속,398.0,급속미운영,398.0,2026-06-23
97,스타코프,대표,완속,318.0,비회원가 없음,,2026-03-13
98,스타코프,대표,급속(100kW이상),340.0,비회원가 없음,,2026-03-13
99,신세계아이앤씨,대표,완속②,299.0,주거외,455.0,2026-04-10
100,신세계아이앤씨,대표,완속①,269.0,주거,455.0,2026-04-10
101,신세계아이앤씨,대표,급속(100kW미만)③,324.0,,455.0,2026-04-10
102,신세계아이앤씨,대표,초급속④,347.0,,455.0,2026-04-10
103,아론,대표,완속,290.0,,290.0,2026-05-08
104,아론,대표,급속(100kW미만),340.0,,340.0,2026-05-08
105,아마노코리아,대표,완속,276.0,,440.0,2026-03-13
106,아마노코리아,대표,급속(100kW이상),330.0,,440.0,2026-03-13
107,아우토크립트,대표,급속(100kW미만),320.0,,347.2,2026-03-13
108,아이마켓코리아,대표,완속,242.0,비회원가 없음,,2026-03-13
109,아이마켓코리아,대표,급속(100kW이상),330.0,비회원가 없음,,2026-03-13
110,아이파킹,대표,완속,299.0,,400.0,2026-04-08
111,아이파킹,대표,급속(100kW미만),345.0,,450.0,2026-04-08
112,아하,대표,완속,260.0,,350.0,2026-04-10
113,아하,대표,급속(100kW미만),300.0,,360.0,2026-04-10
114,아하,대표,급속(100kW이상),330.0,,400.0,2026-04-10
115,에바,대표,완속,260.0,,260.0,2026-03-13
116,에바,대표,급속(100kW이상),319.0,,319.0,2026-03-13
117,에버온,대표,완속,296.0,,380.0,2026-04-15
118,에버온,대표,급속(100kW미만),296.0,,380.0,2026-04-15
119,에버온,대표,급속(100kW이상),296.0,,380.0,2026-04-15
120,에스에스기전,대표,완속,280.0,,400.0,2026-03-13
121,에스에스기전,대표,급속(100kW미만),300.0,,400.0,2026-03-13
122,에스이랩,대표,완속,230.0,,340.0,2026-03-13
123,엔비플러스,대표,완속,324.4,,324.4,2026-03-13
124,엔비플러스,대표,급속(100kW미만),347.2,,347.2,2026-03-13
125,엘에스이링크,대표,급속(100kW이상),319.0,완속 미운영,319.0,2026-03-13
126,온스테이션,대표,완속,320.0,급속미운영,420.0,2026-03-13
127,왕산전기,대표,급속(100kW미만),380.0,,380.0,2026-06-17
128,왕산전기,대표,급속(100kW이상),380.0,,380.0,2026-06-17
129,유플러스아이티,대표,완속,290.0,,400.0,2026-06-01
130,유플러스아이티,대표,급속(100kW미만),320.0,,400.0,2026-06-01
131,유플러스아이티,대표,급속(100kW이상),320.0,,400.0,2026-06-01
132,이브이루씨,대표,완속,292.0,비회원가 없음,300.0,2026-03-24
133,이브이루씨,대표,급속(100kW이상),340.0,,450.0,2026-03-24
134,이브이모드코리아,대표,완속,290.0,,400.0,2026-03-13
