statId,chgerId,statNm,addr,lat,lng,busiNm,parkingFree,limitYn,delYn,fetchedAt
ME178137,01,군위영천휴게소(하행),대구광역시 군위군 산성면 치산효령로 865-43,36.070161,128.7097063,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME178137,02,군위영천휴게소(하행),대구광역시 군위군 산성면 치산효령로 865-43,36.070161,128.7097063,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME181302,01,대구지방합동청사,대구광역시 달서구 대곡동 1035,35.8041984,128.5166757,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME181303,01,㈜정방,대구광역시 달성군 가창면 가창로607-2,35.767460831,128.64879530,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183050,01,대구보건환경연구원,"대구광역시 수성구 무학로 215, 민원실 앞",35.8296797,128.6320054,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183050,02,대구보건환경연구원,"대구광역시 수성구 무학로 215, 민원실 앞",35.8296797,128.6320054,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183053,01,달서구 청소년수련관공영주차장,대구광역시 달서구 상화로 406,35.80795,128.5587594,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183054,01,구지면사무소,대구광역시 달성군 구지면 창리로 11길 38,35.658658456,128.41343910,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183055,01,수태골 공영주차장,대구광역시 동구 용수동 907-1,35.9923765,128.6810109,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183056,01,낙동강승전기념관,대구광역시 남구 앞산순환로 574-110,35.827560977,128.58872119,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183057,01,이곡2동주민센터,대구광역시 달서구 계대동문로 77,35.855634776,128.50107098,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183058,01,신암5동주민센터,대구광역시 동구 아양로37길 92,35.8897037,128.6326875,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183059,01,복현2동주민센터,대구광역시 북구 복현로8길 16-5,35.895183356,128.62554729,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183060,01,대구환경공단 신천사업소,"대구광역시 북구 서변동 1290-4, 입구 좌측 주차구역",35.910053,128.5980954,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183061,01,만촌1동주민센터,대구광역시 수성구 국채보상로 1001,35.8662711,128.6395689,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183062,01,호산공영주차장,"대구광역시 달서구 호산동 714-1, 입구 우측",35.842778498,128.49013162,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183063,01,용산역환승주차장,"대구광역시 달서구 장기동 810-4, 입구 좌측",35.848530792,128.52951891,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183064,01,서촌공영주차장,"대구광역시 달서구 용산동 507, 입구 우측",35.862405614,128.52212472,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183065,01,웃는얼굴 아트센터,"대구광역시 달서구 문화회관4길 22-7, 건너편 주차장 좌측",35.843759305,128.52223591,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183066,01,서변2공영주차장,"대구광역시 북구 서변동 1792, 입구 좌측",35.9210768,128.5983464,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183067,01,팔달신시장공영주차장,"대구광역시 북구 노원로 32, 입구 좌측",35.8918583,128.5662294,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183068,01,범물공영주차장,"대구광역시 수성구 지범로 232, 지하 좌측",35.8177986,128.6426182,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME183069,01,황금2동주민센터 앞 공영주차장,대구광역시 수성구 청수로31길 45,35.841675784,128.62539530,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183070,01,블루핸즈 현풍현대서비스,대구광역시 달성군 현풍면 국가산단북로 360,35.6654537,128.4301409,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183071,01,계명문화대학교,"대구광역시 달서구 달서대로 675, 학생전용주차장 옥상층",35.8599026,128.4911241,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183072,01,SW융합기술지원센터,"대구광역시 수성구 알파시티1로 170, 지하주차장 B01",35.8355921,128.6818292,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183077,01,호텔아젤리아,대구광역시 달성군 유가면 일연선사길 10,35.6927724,128.505986,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183144,01,대구환경공단 달성사업소,대구광역시 달성군 현풍면 현풍서로 147,35.692415060,128.42241654,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183144,02,대구환경공단 달성사업소,대구광역시 달성군 현풍면 현풍서로 147,35.692415060,128.42241654,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME183144,52,대구환경공단 달성사업소,대구광역시 달성군 현풍면 현풍서로 147,35.692415060,128.42241654,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME184067,01,대구시청,대구광역시 중구 국채보상로131길 17,35.8706135,128.6016338,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME184068,01,두류공원관리소,대구광역시 달서구 공원순환로 216,35.844707,128.561796,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME184069,01,북구유통단지(EXCO),대구광역시 북구 유통단지로 90,35.907199,128.613253,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME184070,01,시지근린공원 공영주차장,대구광역시 수성구 달구벌대로637길 5,35.841515,128.706201,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
