hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,73.9901584823927,104,43.0324632448759,104,43.95149035420239,104
1,73.8006285318236,108,43.45489540269027,108,44.68167395513235,108
2,74.512096516273,108,44.350780930666524,108,45.59001674299234,108
3,75.3868196614678,108,45.41621259340263,108,46.85100599622793,108
4,76.33215662418377,108,46.776776583211934,108,48.273514350713924,108
5,77.19216703436778,108,49.47031478044525,108,51.02565040605623,108
6,77.88752205597555,108,54.18529606139563,108,55.67344320078429,108
7,80.26790156294034,128,63.98017059536619,128,64.82780075203371,128
8,80.63057243768111,162,72.90247000418019,162,73.46309708095401,162
9,79.23409486628016,133,76.01785371914889,133,76.63981190446421,133
10,79.07570242448844,132,78.56067101162708,132,78.95768081840181,132
11,79.12914922976343,127,79.793085435786,127,79.85372799592089,127
12,78.93912785816627,125,79.9023777536143,125,79.97204231663316,125
13,78.77500376841543,127,79.07987885367922,127,79.3495008241783,127
14,78.02673639215527,130,77.98927995361639,130,78.38671867494423,130
15,77.64229501319394,134,76.5332773537172,134,77.15031022117074,134
16,76.7904650604402,125,73.004286651157,125,73.59354233650274,125
17,76.9121112359338,115,70.68349161428645,115,71.36159864326874,115
18,77.0039800488009,102,67.07518353035883,102,68.11228610659334,102
19,74.76239206253088,102,61.07468706185952,102,62.3895497550988,102
20,73.00401480237251,117,52.208969759279036,117,53.672363227846866,117
21,71.42090078041842,120,47.61432234023651,120,48.80850210151686,120
22,71.16362320222198,109,44.87957994106042,109,46.01738232582751,109
23,72.40090741329111,96,45.88861574068073,96,47.06327872636036,96
