statId,panel_ts,known_chargers,available_count,in_use_count,usable_known,availability_ratio_observed,has_confirmed_available,segment_id,avail_rate_lag_15m,avail_rate_lag_60m,schema_version,source_status
BE241250,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
BE241251,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CU530006,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CU530014,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV000194,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV000535,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV000565,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV000783,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV000818,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV000849,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV000896,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV000979,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV000980,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV000991,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV001223,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV001241,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV001441,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV001566,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV001678,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV001701,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV002034,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV002243,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV002279,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV002397,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV002431,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV002633,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV002856,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV003068,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV003097,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV003116,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV003360,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV003482,2026-07-17 13:41:56,2,0,2,2,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV003483,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV003535,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV003559,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
CV003566,2026-07-17 13:41:56,2,1,1,2,0.5,True,0,,,station_feature_panel_v1,sandbox_series
CV004043,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV004463,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
CV004690,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
DC530008,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
EV004401,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
EV005065,2026-07-17 13:41:56,2,1,1,2,0.5,True,0,,,station_feature_panel_v1,sandbox_series
EV005963,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
EV005965,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
EV006879,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
EV007037,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
EV008152,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
EV013472,2026-07-17 13:41:56,1,1,0,1,1.0,True,0,,,station_feature_panel_v1,sandbox_series
EV014804,2026-07-17 13:41:56,2,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
EV016308,2026-07-17 13:41:56,1,0,1,1,0.0,False,0,,,station_feature_panel_v1,sandbox_series
