hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,63,16,87.49,12.0,0.51,12.51,40.07,40.08
1,63,16,89.12,10.54,0.34,10.88,40.82,40.85
2,64,16,90.23,9.3,0.47,9.77,41.38,41.39
3,64,16,91.55,8.28,0.17,8.45,42.0,41.98
4,62,16,92.11,7.63,0.26,7.89,42.25,42.26
5,64,16,91.45,8.27,0.28,8.55,41.83,41.84
6,63,16,88.87,10.58,0.55,11.13,40.6,40.49
7,64,17,82.23,16.33,1.43,17.77,38.41,38.55
8,68,17,67.78,28.33,3.89,32.22,34.19,33.61
9,67,17,65.58,30.07,4.34,34.42,33.47,32.87
10,67,17,62.09,33.18,4.73,37.91,32.61,32.17
11,66,17,60.59,33.98,5.43,39.41,32.37,31.94
12,64,16,61.35,33.56,5.09,38.65,32.63,32.44
13,64,16,60.85,34.49,4.67,39.15,32.42,32.36
14,61,16,58.91,35.74,5.35,41.09,31.84,31.67
15,63,16,57.78,36.25,5.98,42.22,31.49,31.24
16,64,17,55.09,37.11,7.8,44.91,30.76,30.48
17,68,17,51.64,38.06,10.3,48.36,29.92,29.34
18,63,16,49.29,35.33,15.38,50.71,28.98,27.84
19,63,16,63.76,29.78,6.46,36.24,33.04,33.84
20,72,17,72.71,25.02,2.27,27.29,35.21,35.23
21,69,17,76.4,21.68,1.92,23.6,36.18,36.14
22,68,17,79.76,19.01,1.23,20.24,37.2,37.17
23,64,16,85.15,13.89,0.95,14.85,39.05,38.88
