station_key,충전소명,시군구,지역,sessions,kwh_sum,kwh_mean,months
논공(대구) 휴게소|달성군,논공(대구) 휴게소,달성군,대구광역시,12547,309585.59,24.67407268669802,8
군위(춘천) 휴게소|군위군,군위(춘천) 휴게소,군위군,대구광역시,11725,245462.67,20.93498251599147,8
논공(광주) 휴게소|달성군,논공(광주) 휴게소,달성군,대구광역시,7968,194939.01,24.465237198795183,8
대구 동촌유원지 서편주차장|동구,대구 동촌유원지 서편주차장,동구,대구광역시,6042,145576.87,24.094152598477326,8
무학산공원|수성구,무학산공원,수성구,대구광역시,5304,145283.92,27.39138763197587,8
삼국유사 군위(서울) 휴게소|군위군,삼국유사 군위(서울) 휴게소,군위군,대구광역시,3958,63057.27,15.931599292572006,8
군위영천휴게소(하행)|군위군,군위영천휴게소(하행),군위군,대구광역시,3353,54609.73,16.286826722338205,8
칠곡3지구 공영주차장|북구,칠곡3지구 공영주차장,북구,대구광역시,3116,69172.38,22.199094993581515,8
대구스타디움 주차장|수성구,대구스타디움 주차장,수성구,대구광역시,3103,71079.67,22.90675797615211,8
망우당공원 택시쉼터|동구,망우당공원 택시쉼터,동구,대구광역시,2832,65180.68,23.015776836158192,8
대구광역시청 별관|북구,대구광역시청 별관,북구,대구광역시,2498,74752.3,29.92485988791033,8
대구동부경찰서|동구,대구동부경찰서,동구,대구광역시,2169,51606.28,23.792660212079298,8
수성생활체육공원|수성구,수성생활체육공원,수성구,대구광역시,1665,41307.61,24.809375375375375,8
대구성서경찰서|달서구,대구성서경찰서,달서구,대구광역시,1634,44343.1,27.137760097919216,8
군위국민체육센터 주차장|군위군,군위국민체육센터 주차장,군위군,대구광역시,1494,28488.68,19.068728246318607,8
화원파출소|달성군,화원파출소,달성군,대구광역시,1446,36837.44,25.475408022130015,8
대구남부경찰서|남구,대구남부경찰서,남구,대구광역시,1446,38444.24,26.586611341632086,8
현풍백년도깨비시장 공영주차장|달성군,현풍백년도깨비시장 공영주차장,달성군,대구광역시,1442,34408.23,23.861463245492374,8
신암3동행정복지센터|동구,신암3동행정복지센터,동구,대구광역시,1420,29237.8,20.59,8
대구 문화예술회관|달서구,대구 문화예술회관,달서구,대구광역시,1408,40638.64,28.862670454545455,8
월광수변공원|달서구,월광수변공원,달서구,대구광역시,1335,37132.84,27.81486142322097,8
대구봉무공원 주차장|동구,대구봉무공원 주차장,동구,대구광역시,1298,21257.09,16.37680277349769,8
북구구민 운동장|북구,북구구민 운동장,북구,대구광역시,1277,33517.05,26.246711041503527,8
대명1동 행정복지센터|남구,대명1동 행정복지센터,남구,대구광역시,1207,28231.84,23.39009113504557,8
대곡파출소|달서구,대곡파출소,달서구,대구광역시,1199,30808.72,25.69534612176814,8
