matched_id,parking_name,parking_addr,parking_type,parking_spaces,best_grade,best_distance_m,ev_station_count,best_statId,best_charger_name,evidence,map_verified,external_address_match,review_note
154-2-000058,서리지2주차장,대구광역시 북구 동호동 산35-3,공영,89,STRONG,10.0,1,CV002302,서리지 주차장,좌표 거리 10.0m · 주소 번지 숫자 일치,,,
156-2-000081,호림1공영주차장,대구시 달서구 호림동 13-10,공영,201,STRONG,16.1,2,CV001123,시설공단대구_호림1 공영주차장,좌표 거리 16.1m · 충전소명·주차장명 유사,,,
156-2-000040,월곡공영주차장,대구시 달서구 상인동 899,공영,59,STRONG,9.9,4,CV001635,대구월곡공영주차장,좌표 거리 9.9m · 충전소명·주차장명 유사,,,
156-2-000013,수밭근린공원주차장,대구시 달서구 도원동 885-2,공영,86,STRONG,16.8,1,ME25C277,수밭근린공원 주차장,좌표 거리 16.8m · 충전소명·주차장명 유사,,,
156-2-000028,달서시장 주차장,대구시 달서구 본리동 110-5,공영,103,STRONG,12.3,2,KP004416,달서시장 공영주차장,좌표 거리 12.3m · 충전소명·주차장명 유사,,,
156-2-000046,송현1동 2공영주차장,대구시 달서구 송현동 1971-2,공영,27,STRONG,8.9,1,CV003100,대구시_송현1동2공영주차장,좌표 거리 8.9m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치,,,
150-4-000113,동아백화점 쇼핑점 주차장,대구 중구 달구벌대로 2085,민영,90,STRONG,0.0,3,HY000914,대구 동아백화점 쇼핑점,좌표 거리 0.0m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치,,,
151-2-000012,율암동 공영주차장,대구광역시 동구 율암동 524-416,공영,30,STRONG,8.3,1,ME18C259,율암동 공영주차장,좌표 거리 8.3m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치,,,
156-2-000012,도원동 마을공영주차장,대구시 달서구 도원동 668-10,공영,11,STRONG,14.8,2,ME18C176,도원동마을공영주차장,좌표 거리 14.8m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치,,,
157-4-000007,엠스퀘어플러스,대구 달성군 유가읍 테크노상업로 120,민영,288,STRONG,0.0,2,PI763522,엠스퀘어플러스,좌표 거리 0.0m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치,,,
151-2-000041,갓바위 1공영주차장,대구광역시 동구 진인동 123-30,공영,60,STRONG,15.5,1,CV002394,갓바위1공영주차장,좌표 거리 15.5m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치,,,
150-1-000172,동인동행정복지센터 앞 노상무료,대구광역시 중구 동인동4가 318-5,공영,1,STRONG,14.1,2,DG110009,동인동행정복지센터,좌표 거리 14.1m · 충전소명·주차장명 유사,,,
154-2-000032,서변1 공영주차장,대구광역시 북구 서변동 1778,공영,82,STRONG,0.5,5,CV001127,시설공단대구_서변1 공영주차장,좌표 거리 0.5m · 충전소명·주차장명 유사,,,
153-2-000003,양지로 공영주차장,대구광역시 남구 대명3동 2152-5번지,공영,34,STRONG,4.7,1,KP003776,양지로공영주차장,좌표 거리 4.7m · 충전소명·주차장명 유사,,,
361-3-000001,"군위군민회관, 군위노인복지회관 주차장",대구 군위군 군위읍 군청로 98-6,공영,11,STRONG,17.7,1,ME22C193,군위군노인복지관,좌표 거리 17.7m · 주소 번지 숫자 일치,,,
155-2-000054,외환들 공영주차장,대구광역시 수성구 삼덕동 360-4,공영,642,STRONG,13.2,1,CV002163,외환들공영주차장,좌표 거리 13.2m · 충전소명·주차장명 유사,,,
156-2-000085,성서2주차장,대구 달서구 성서동로 293,공영,131,STRONG,9.3,1,CV003800,대구시_성서2공영주차장,좌표 거리 9.3m · 주소 번지 숫자 일치,,,
155-1-000143,수성알파시티 전기충전주차장 1,대구 수성구 대흥동 863,공영,3,STRONG,19.9,2,CV000048,대구시_수성의료지구(대구도시공사),좌표 거리 19.9m · 주소 번지 숫자 일치,,,
156-2-000031,상인공영주차장,대구시 달서구 상인동 1510,공영,279,STRONG,1.1,4,CV002181,상인공영주차장,좌표 거리 1.1m · 충전소명·주차장명 유사,,,
151-1-000004,공항3차아파트 (북),대구광역시 동구 도동 20-5,공영,17,STRONG,10.6,1,HM001632,공항3차아파트,좌표 거리 10.6m · 충전소명·주차장명 유사,,,
