shadow_display_rank,shadow_tier,statId,statNm,addr,distance_from_test_m,available_count,total_chargers,reliability_grade_effective,is_operating_now,nearest_parking_m,parking_remaining_spaces,nearest_incident_m,usage_level,evidence
1,A: 즉시 후보,ME184067,대구시청,대구광역시 중구 국채보상로131길 17,89.9563683169086,1,1,HIGH,Y,39.8,1.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 1/1대 · 상태 신뢰도 HIGH · 운영 여부 Y · Team5 주차장 40m · 주차 잔여 1면 · 충전기 1대: 대기·실패 위험 주의
2,A: 즉시 후보,CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,332.80741280526007,3,7,NORMAL,Y,206.1,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 3/7대 · 상태 신뢰도 NORMAL · 운영 여부 Y · Team5 주차장 206m
3,A: 즉시 후보,CV004108,농협경제지주 대구태평로공판장,대구광역시 중구 태평로 195,396.7512032884207,1,2,NORMAL,Y,156.9,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 1/2대 · 상태 신뢰도 NORMAL · 운영 여부 Y · Team5 주차장 157m
4,A: 즉시 후보,CV001592,칠성공영주차장,대구광역시 북구 칠성남로 196,524.2557784197477,2,3,HIGH,Y,5.9,52.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 2/3대 · 상태 신뢰도 HIGH · 운영 여부 Y · Team5 주차장 6m · 주차 잔여 52면
5,A: 즉시 후보,PC001513,경북대학교병원(대구),대구광역시 중구 동덕로 130,617.7785924229664,11,17,NORMAL,Y,152.5,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 11/17대 · 상태 신뢰도 NORMAL · 운영 여부 Y · Team5 주차장 152m
6,A: 즉시 후보,JA270006,롯데백화점 대구점 지상 4층,대구광역시 중구 태평로 160,648.7273349354015,6,9,HIGH,Y,46.2,365.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 6/9대 · 상태 신뢰도 HIGH · 운영 여부 Y · Team5 주차장 46m · 주차 잔여 365면
7,A: 즉시 후보,BE482306,워터 대구 반월당,대구광역시 중구 달구벌대로 2095,960.9271608334714,7,10,NORMAL,Y,88.4,0.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 7/10대 · 상태 신뢰도 NORMAL · 운영 여부 Y · Team5 주차장 88m · 주차 잔여 0면 · 인근 주차장 만차
8,A: 즉시 후보,HY000656,현대백화점 더현대 대구,대구광역시 중구 달구벌대로 2077,1106.3079211412535,2,9,HIGH,Y,114.4,0.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 2/9대 · 상태 신뢰도 HIGH · 운영 여부 Y · Team5 주차장 114m · 주차 잔여 0면 · 인근 주차장 만차
9,A: 즉시 후보,PIS00580,대구 북구 오페라코오롱하늘채,대구광역시 북구 중앙대로 540,1138.7090208128307,10,16,NORMAL,Y,64.4,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 10/16대 · 상태 신뢰도 NORMAL · 운영 여부 Y · Team5 주차장 64m
10,A: 즉시 후보,HY000657,현대백화점 더현대 대구,대구광역시 중구 달구벌대로 2077,1148.9495036278167,2,4,NORMAL,Y,120.9,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 2/4대 · 상태 신뢰도 NORMAL · 운영 여부 Y · Team5 주차장 121m
