feature,decision_baseline,decision_current,decision_changed,directional_auc_baseline,directional_auc_current,directional_auc_delta,q_value_baseline,q_value_current,null_rate_baseline,null_rate_current,owner_next
available_count,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.8219060634410397,0.8194365997898286,-0.0025,0.0,0.0,0.0,0.0,DA②
total_chargers,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.7203356806865903,0.7211989169414167,0.0009,0.0,0.0,0.0,0.0,DA②
minutes_since_last_change,RETAIN_CANDIDATE,RETAIN_CANDIDATE,False,0.7135877820500924,0.7154039515391962,0.0018,0.0,0.0,0.0,0.0,DA②
usable_count,RETAIN_CANDIDATE,RETAIN_CANDIDATE,False,0.673849657534434,0.6729782770953597,-0.0009,0.0,0.0,0.0,0.0,DA②
direct_observed_count,RETAIN_CANDIDATE,RETAIN_CANDIDATE,False,0.6316693466680796,0.6320026603263598,0.0003,0.0,0.0,0.0,0.0,DA②
observation_coverage,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.6252889338138534,0.625004993277285,-0.0003,0.0,0.0,0.0,0.0,DA②
unobserved_rate,EXCLUDE_REDUNDANT,EXCLUDE_REDUNDANT,False,0.6252889338138534,0.625004993277285,-0.0003,0.0,0.0,0.0,0.0,DA①
known_charger_count,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.6188190819638901,0.6204986706974218,0.0017,0.0,0.0,0.0,0.0,DA②
history_observed,HOLD_SPARSE_HISTORY,HOLD_SPARSE_HISTORY,False,0.6028777049145728,0.6024435458223747,-0.0004,0.0,0.0,0.0,0.0,DA①
sessions_per_charger,HOLD_SPARSE_HISTORY,HOLD_SPARSE_HISTORY,False,0.5871862173294217,0.5874240046584491,0.0002,2.0950782589416825e-141,1.0556449368084264e-169,0.9260659462547705,0.9259852451806179,DA①
available_count_delta_1tick,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5678872947527736,0.5707401840978056,0.0029,0.0,0.0,0.08617213151003222,0.0881150261819208,DA②
observation_age_minutes,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.567191455061616,0.5672141537663524,0.0,0.0,0.0,0.0,0.0,DA②
hour,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5484121761238213,0.5509873017430182,0.0026,3.8437288259200525e-290,0.0,0.0,0.0,DA②
horizon_minutes,RETAIN_FOR_ABLATION,RETAIN_FOR_ABLATION,False,0.5415192098211987,0.5412396350421111,-0.0003,5.26108053741197e-309,0.0,0.0,0.0,DA②
direct_observation_coverage,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5286625114791278,0.5282845171620013,-0.0004,1.8285919995792758e-123,2.6106524254929966e-139,0.0,0.0,DA②
usage_daytype_avg,HOLD_SPARSE_HISTORY,HOLD_SPARSE_HISTORY,False,0.5138885019489865,0.5156333454720428,0.0017,2.654854811714023e-05,0.0001723368204866,0.9260659462547705,0.9259852451806179,DA①
weekday,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5051823246007248,0.5056784562170367,0.0005,1.347251552896124e-06,8.732376022417952e-08,0.0,0.0,DA②
is_weekend,HOLD_FOR_HGB_INTERACTION_TEST,HOLD_FOR_HGB_INTERACTION_TEST,False,0.5005103092918534,0.5010091369348121,0.0005,0.5881985266507338,0.2286847095468739,0.0,0.0,DA②
