hour,mean_pct,median_pct,ticks,days
0,52.64324784278776,54.223433242506815,109,17
1,51.7870379516981,53.89818372154831,114,17
2,52.314499920179294,54.30692221514737,114,17
3,53.260249750610676,54.73290903141657,114,17
4,54.46064733255528,55.62531468428955,114,17
5,56.58635501995141,57.68478074989192,114,17
6,60.146863732719844,61.13310960782926,114,17
7,68.1867338269735,66.91761669176167,131,20
8,74.92231622030967,75.82747951344632,162,22
9,76.65804166225385,77.76261937244202,133,22
10,78.5673281803214,79.92427658526597,132,22
11,79.53604215371962,81.39796364544944,131,22
12,79.63963372542162,81.78430631311767,131,22
13,79.18131342686557,81.60905247450883,133,23
14,78.17551664480558,81.21188902706473,136,23
15,76.95657946436506,80.57213529063827,140,23
16,74.49235987053414,78.12621927428795,131,23
17,72.529452256548,76.26988592766894,121,22
18,69.81185176371133,72.28058724017536,108,19
19,64.82043981362764,66.72324992187207,108,19
20,58.96113129452547,62.220084442306664,123,22
21,54.370265365064995,58.6347744659776,126,22
22,52.05055416030567,56.534888744869306,115,19
23,52.93593090542942,55.03467779152944,102,16
