hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,67,17,87.33,12.13,0.54,12.67,40.04,40.01
1,67,17,89.11,10.54,0.35,10.89,40.8,40.84
2,68,17,90.17,9.35,0.48,9.83,41.36,41.35
3,68,17,91.5,8.32,0.18,8.5,41.98,41.97
4,66,17,92.09,7.64,0.26,7.91,42.24,42.26
5,68,17,91.41,8.3,0.29,8.59,41.82,41.83
6,67,17,88.89,10.57,0.54,11.11,40.62,40.54
7,66,18,82.33,16.23,1.44,17.67,38.47,38.64
8,68,17,67.78,28.33,3.89,32.22,34.19,33.61
9,67,17,65.58,30.07,4.34,34.42,33.47,32.87
10,67,17,62.09,33.18,4.73,37.91,32.61,32.17
11,68,17,60.4,34.09,5.51,39.6,32.33,31.9
12,68,17,60.83,33.79,5.38,39.17,32.51,32.38
13,68,17,60.37,34.67,4.96,39.63,32.31,32.32
14,65,17,58.64,35.8,5.56,41.36,31.78,31.65
15,67,17,57.88,36.15,5.98,42.12,31.51,31.32
16,68,18,55.29,36.98,7.73,44.71,30.83,30.5
17,72,18,51.9,37.99,10.11,48.1,30.01,29.6
18,67,17,49.86,35.28,14.86,50.14,29.15,28.14
19,67,17,64.07,29.65,6.28,35.93,33.14,33.88
20,76,18,72.71,24.99,2.31,27.29,35.21,35.23
21,73,18,76.32,21.77,1.91,23.68,36.17,36.11
22,72,18,79.75,19.04,1.21,20.25,37.19,37.17
23,68,17,85.05,14.0,0.96,14.95,39.02,38.84
