column,label,n_valid,q1,median,q3,iqr,fence_1.5_lo,fence_1.5_hi,fence_3_lo,fence_3_hi,n_outlier_1.5iqr,pct_outlier_1.5iqr,n_outlier_3iqr,pct_outlier_3iqr,min,max,method
total_chargers,충전기 수,4210,2.0,3.0,7.0,5.0,-5.5,14.5,-13.0,22.0,398,9.45,161,3.82,1.0,99.0,1.5·IQR
available_count,가용 충전기 수,4210,1.0,2.0,4.0,3.0,-3.5,8.5,-8.0,13.0,364,8.65,162,3.85,0.0,54.0,1.5·IQR
observed_count,관측 충전기 수,4210,1.0,3.0,6.0,5.0,-6.5,13.5,-14.0,21.0,357,8.48,139,3.3,0.0,76.0,1.5·IQR
availability_ratio_observed,관측 가용률(0~1),3656,0.5,0.8695652173913043,1.0,0.5,-0.25,1.75,-1.0,2.5,0,0.0,0,0.0,0.0,1.0,1.5·IQR
status_age_minutes,status age(분),3656,82.87083333333334,436.0,1046.4541666666667,963.5833333333333,-1362.5041666666666,2491.8291666666664,-2807.8791666666666,3937.2041666666664,446,10.59,288,6.84,0.3166666666666666,32675.816666666666,1.5·IQR
observation_age_minutes,observation age(분),3656,80.1,434.51666666666665,1045.4166666666667,965.3166666666667,-1367.8750000000002,2493.391666666667,-2815.8500000000004,3941.366666666667,446,10.59,288,6.84,0.0,32668.83333333333,1.5·IQR
nearest_parking_m,최근접 주차(m),3922,111.075,198.64999999999998,331.475,220.40000000000003,-219.52500000000003,662.075,-550.125,992.6750000000001,197,4.68,1,0.02,0.0,996.8,1.5·IQR
parking_occupancy_rate,주차 점유율(%),417,16.13,29.92,65.71,49.58,-58.24000000000001,140.07999999999998,-132.61,214.45,0,0.0,0,0.0,0.0,100.0,1.5·IQR
parking_remaining_spaces,주차 잔여면,428,24.0,44.0,94.0,70.0,-81.0,199.0,-186.0,304.0,54,1.28,28,0.67,0.0,816.0,1.5·IQR
parking_remaining_delta_1h,주차 잔여 Δ1h,428,-6.0,-1.0,0.0,6.0,-15.0,9.0,-24.0,18.0,37,0.88,18,0.43,-85.0,13.0,1.5·IQR
nearest_incident_m,최근접 돌발(m),942,462.175,664.8,829.125,366.95,-88.24999999999994,1379.55,-638.675,1929.975,0,0.0,0,0.0,20.8,998.6,1.5·IQR
link_speed_kph,링크속도(kph),2716,24.0,29.0,39.0,15.0,1.5,61.5,-21.0,84.0,43,1.02,0,0.0,8.0,73.0,1.5·IQR
sessions_per_charger,sessions/충전기,200,1.1617552018999133,1.8218188515532274,2.9109957627118646,1.7492405608119512,-1.4621056393180136,5.534856603929791,-4.085966480535941,8.158717445147719,14,0.33,1,0.02,0.2383333333333333,8.170498084291188,1.5·IQR
