statId,statNm,lat,lng,available_count,total_chargers,availability_ratio_observed,reliability_grade,reliability_grade_effective,observation_age_minutes,as_of_ts,recommend_public_default,parking_is_mock,traffic_is_mock
ME178137,군위영천휴게소(하행),36.070161,128.7097063,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME181302,대구지방합동청사,35.8041984,128.5166757,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME181303,㈜정방,35.767460831,128.6487953,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183050,대구보건환경연구원,35.8296797,128.6320054,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183053,달서구 청소년수련관공영주차장,35.80795,128.5587594,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183054,구지면사무소,35.658658456,128.4134391,0,1,0.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183055,수태골 공영주차장,35.9923765,128.6810109,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183056,낙동강승전기념관,35.827560977,128.58872119,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183057,이곡2동주민센터,35.855634776,128.50107098,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183058,신암5동주민센터,35.8897037,128.6326875,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183059,복현2동주민센터,35.895183356,128.62554729,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183060,대구환경공단 신천사업소,35.910053,128.5980954,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183061,만촌1동주민센터,35.8662711,128.6395689,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183062,호산공영주차장,35.842778498,128.49013162,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183063,용산역환승주차장,35.848530792,128.52951891,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183064,서촌공영주차장,35.862405614,128.52212472,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183065,웃는얼굴 아트센터,35.843759305,128.52223591,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183066,서변2공영주차장,35.9210768,128.5983464,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183067,팔달신시장공영주차장,35.8918583,128.5662294,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183068,범물공영주차장,35.8177986,128.6426182,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183069,황금2동주민센터 앞 공영주차장,35.841675784,128.6253953,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME183070,블루핸즈 현풍현대서비스,35.6654537,128.4301409,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183071,계명문화대학교,35.8599026,128.4911241,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183072,SW융합기술지원센터,35.8355921,128.6818292,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183077,호텔아젤리아,35.6927724,128.505986,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME183144,대구환경공단 달성사업소,35.69241506,128.42241654,3,3,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME184067,대구시청,35.8706135,128.6016338,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME184068,두류공원관리소,35.844707,128.561796,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME184069,북구유통단지(EXCO),35.907199,128.613253,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME184070,시지근린공원 공영주차장,35.841515,128.706201,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C147,삼국유사 가온누리,36.158508,128.69693,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C170,북대구세무서,35.888337,128.583212,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C171,노원동행정복지센터,35.890297126,128.5760202,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C172,침산3동행정복지센터,35.892053,128.589389,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C173,침산공원,35.895815731,128.58413411,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C174,서구 문화회관,35.872177843,128.54599709,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C175,대명1동 행정복지센터,35.841448784,128.57357283,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C176,도원동마을공영주차장,35.805873,128.547724,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C177,낙동강 레포츠밸리,35.671921189,128.37141736,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C178,안심2동 공영주차장,35.875507,128.686917,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
